"Subject","Start Date","Start Time","End Date","End Time","All day event","No End Time","Meeting Organizer","Phone","Email","Categories","Description","Location","Street","City","State or Province","Zip or Postal Code","Country","More Info","Duration (hh:mm:ss)","User Id","Event Id","Repeat Id"
"Whatabot GPT? Teaching in the Neural Network Era","8/3/2023","3:00 pm","8/3/2023","4:00 pm","False","False","Andrew Adler","","","Academics","ChatGPT and other artificial intelligence advancements stand to have a major impact on&nbsp;higher education in the coming years. In this workshop, Dr. Homer White facilitates a&nbsp;discussion of the dangers - and opportunities - that AI present for teaching and learning.

Contact: Andrew Adler
","Ensor Learning Resource Center (Library)","Mulberry Street","Georgetown","KY","40324","USA","","01:00:00","20393","164680299","0"
"Understanding Disabilities Services and Accommodations in the Classroom","9/3/2023","11:00 am","9/3/2023","12:00 pm","False","False","","","","Academics","<p><span style=""font-size: 12.0pt; font-family: 'Garamond',serif;"">This workshop will be a presentation about legalities regarding disabilities and practical applications of accommodations in the classroom.&nbsp; There will be ample time for discussion and questions.</span></p>

","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","01:00:00","20393","165689218","0"
"Full Faculty - Division Meetings","9/3/2023","11:00 am","9/3/2023","12:00 pm","False","False","","","","Academics","

","","","","","","","","01:00:00","20393","159463227","0"
"Coming Out for Air - Art Exhibition Reception","9/3/2023","5:00 pm","9/3/2023","7:00 pm","False","False","Aaron Reynolds","","","Nexus","""Coming out for Air"" Exhibition reception is a reception and artist talking featuring artist&nbsp;and Georgetown alum Lucas Wiman. Wiman is a central Kentucky based photographer whose work explores the complicated relationship between people and the land on which&nbsp;they live and work. His current body of work explores the legacy of coal mining in Eastern&nbsp;Kentucky.

Contact: Aaron Reynolds
","Cochenour Gallery","Ensor Learning Resource Center, College and Mulber","Georgetown","KY","40324","USA","","02:00:00","20393","165848058","0"
"Saturday  Visit Day","11/3/2023","12:00 am","11/3/2023","11:59 pm","True","False","","","","Admissions","

","","","","","","","","24:00:00","20393","161502256","0"
"Spring Break - No Classes","13/3/2023","12:00 am","13/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077409","4086625"
"Spring Break - No Classes","14/3/2023","12:00 am","14/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077410","4086625"
"Spring Break - No Classes","15/3/2023","12:00 am","15/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077411","4086625"
"Spring Break - No Classes","16/3/2023","12:00 am","16/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077412","4086625"
"Spring Break - No Classes","17/3/2023","12:00 am","17/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077413","4086625"
"Academic Progress Checks - Round II","20/3/2023","12:00 am","20/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077424","0"
"Advising for Fall 2023","20/3/2023","12:00 am","20/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077439","4086627"
"Advising for Fall 2023","21/3/2023","12:00 am","21/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077440","4086627"
"Women's History Month Celebration/Speaker","21/3/2023","11:00 am","21/3/2023","1:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Nexus","In celebration of Women's History Month, we will host Ms. Passion Richardson on our campus.&nbsp;
<p style=""background: white; margin: 6.0pt 0in 6.0pt 0in;""><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #202122;"">Passion is an American former track and field athlete who competed in sprinting events. She had most of her success with the American women's&nbsp;<a title=""4&times;100 m relay"" href=""https://en.wikipedia.org/wiki/4%C3%97100_m_relay""><span style=""color: #0645ad; text-decoration: none; text-underline: none;"">4&times;100 m relay</span></a>&nbsp;team. She ran in the heats at the&nbsp;<a title=""2000 Summer Olympics"" href=""https://en.wikipedia.org/wiki/2000_Summer_Olympics""><span style=""color: #0645ad; text-decoration: none; text-underline: none;"">2000 Summer Olympics</span></a>&nbsp;and the Americans won the bronze medal in the final.&nbsp;<span style=""background: white;"">After graduating in 1993 she went on to study marketing at the University of Kentucky.&nbsp;While there she competed athletically for the&nbsp;</span></span><a style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; word-spacing: 0px;"" title=""Kentucky Wildcats"" href=""https://en.wikipedia.org/wiki/Kentucky_Wildcats""><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #0645ad; background: white; text-decoration: none; text-underline: none;"">Kentucky Wildcats</span></a><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #202122; background: white;""><span style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; float: none; word-spacing: 0px;"">&nbsp;and gained four&nbsp;</span></span><a style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; word-spacing: 0px;"" title=""All-America"" href=""https://en.wikipedia.org/wiki/All-America""><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #0645ad; background: white; text-decoration: none; text-underline: none;"">All-American</span></a><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #202122; background: white;""><span style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; float: none; word-spacing: 0px;"">&nbsp;honours: she was an indoor&nbsp;</span></span><a style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; word-spacing: 0px;"" title=""55 metres"" href=""https://en.wikipedia.org/wiki/55_metres""><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #0645ad; background: white; text-decoration: none; text-underline: none;"">55 metres</span></a><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #202122; background: white;""><span style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; float: none; word-spacing: 0px;"">&nbsp;finalist in 1994 and 1996, a&nbsp;</span></span><a style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; word-spacing: 0px;"" title=""4&times;100 metres relay"" href=""https://en.wikipedia.org/wiki/4%C3%97100_metres_relay""><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #0645ad; background: white; text-decoration: none; text-underline: none;"">4&times;100 metres relay</span></a><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #202122; background: white;""><span style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; float: none; word-spacing: 0px;"">&nbsp;finalist in 1996, and a&nbsp;</span></span><a style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; word-spacing: 0px;"" title=""100 metres"" href=""https://en.wikipedia.org/wiki/100_metres""><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #0645ad; background: white; text-decoration: none; text-underline: none;"">100 metres</span></a><span style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; color: #202122; background: white;""><span style=""font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; float: none; word-spacing: 0px;"">&nbsp;finalist in 1997.</span> </span></p>

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","02:00:00","105534","161366791","0"
"WAGC Luncheon","21/3/2023","12:30 pm","21/3/2023","2:00 pm","False","False","","","","General","

","Conference Center","100 Crawford Drive","Georgetown","KY","40324","US","","01:30:00","580502","161806027","0"
"Danford Thomas Lecture - President of Baylor University Linda Livingstone","21/3/2023","3:30 pm","21/3/2023","4:30 pm","False","False","Roger Ward","","","Nexus","

Contact: Roger Ward
","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","163119370","0"
"Reception for Baylor Alumni and Friends","21/3/2023","5:00 pm","21/3/2023","6:30 pm","False","False","","","","Academics","

","","","","","","","","01:30:00","584681","163121112","0"
"Advising for Fall 2023","22/3/2023","12:00 am","22/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077441","4086627"
"Senior Celebration","22/3/2023","10:00 am","22/3/2023","5:00 pm","False","False","","","","Academics","

","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","07:00:00","20393","165132188","0"
"Financial Feats & Flops: A Graduate's Guide to Life After College","22/3/2023","5:30 pm","22/3/2023","7:00 pm","False","False","","","","Nexus","

","Ward Room, Ensor LRC","","","","","","","01:30:00","584681","165687219","0"
"French Novel on Film: Dangerous Liaisons (1988)","22/3/2023","6:15 pm","22/3/2023","6:15 pm","False","True","","","","Nexus","<p style=""background: white;""><em><span style=""font-size: 12.0pt; color: black;"">Dangerous Liaisons</span></em><span style=""font-size: 12.0pt; color: black;""> (1988), directed by Stephen Frears.</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; color: black;"">Based on Choderlos de Laclos's 1782 novel<em> Les Liaisons dangereuses</em></span></p>

","Asher Science Center Room 112","","","","","","","05:45:00","20393","165097682","0"
"Advising for Fall 2023","23/3/2023","12:00 am","23/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077442","4086627"
"Full Time Faculty - Faculty Meeting","23/3/2023","11:00 am","23/3/2023","12:00 pm","False","False","","","","Academics","

","Asher Science Center Room 112","","","","","","","01:00:00","20393","159463270","0"
"Orange Table Talk - Women's History Month","23/3/2023","11:00 am","23/3/2023","12:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Nexus","In honor of Women's History Month, the Black Student Union will host an Orange Table Talk highlighting the impact/works of Black Women at GC!&nbsp;<br /><br />Guest Speaker: TBA<br />Topic: TBA

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Ward Room, Ensor LRC","Mulberry Street","Georgetown","KY","40324","United States","","01:00:00","105534","165444349","0"
"Lecture- Sir Malcolm Evans Principal at Regents Park College","23/3/2023","4:00 pm","23/3/2023","5:00 pm","False","False","Brad Hadaway","","","Nexus","

Contact: Brad Hadaway
","Ward Room, LRC","","","","","","","01:00:00","20393","165035214","0"
"Education Advisory Committee Meeting","23/3/2023","5:00 pm","23/3/2023","8:00 pm","False","False","Anne DeMott","","","Academics","The main focus of this event is to interview candidates for admittance into the Teacher&nbsp;Education Program.

Contact: Anne DeMott
","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","03:00:00","20393","164778256","0"
"Oxford Programs Formal Hall Dinner","23/3/2023","7:00 pm","23/3/2023","9:00 pm","False","False","","","","Academics","

","Fireside Room of the LRC","","","","","","","02:00:00","20393","165435565","0"
"Advising for Fall 2023","24/3/2023","12:00 am","24/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077443","4086627"
"Preview Day","24/3/2023","12:00 am","24/3/2023","11:59 pm","True","False","","","","Admissions","

","","","","","","","","24:00:00","20393","161502295","0"
"Spring Academic Internship Registration Deadline","26/3/2023","12:00 am","26/3/2023","11:59 pm","True","False","Holly_james@georgetowncollege.edu","502-863-7094","holly_james@georgetowncollege.edu","Calling and Career","Students must register their internship by this date.&nbsp; The internship registration/application online form is located in the Portal &gt; Departments&gt; Center for Calling &amp; Career &gt; Internships on the lower right.

Contact: Holly_james@georgetowncollege.edu
Email: holly_james@georgetowncollege.edu
Phone: 502-863-7094
","","","","","","","https://my.georgetowncollege.edu/ics","24:00:00","26205","127334059","1040586"
"Advising for Fall 2023","27/3/2023","12:00 am","27/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077446","4086627"
"Advanced Registration for Fall 2023","27/3/2023","12:00 am","27/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077499","4086629"
"Maya Mexico Info Session","27/3/2023","3:00 pm","27/3/2023","4:00 pm","False","False","Laura Hunt","","","Academics","Study abroad in Mexico next winter! Dr. Hunt will speak about this opportunity for students&nbsp;to get credit in Honors, History, or Spanish during the Winter Term.

Contact: Laura Hunt
","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","United States","","01:00:00","20393","166106597","0"
"Advising for Fall 2023","28/3/2023","12:00 am","28/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077447","4086627"
"Final Date to Drop a Course w/o a grade/ change to Pass/Fail or Audit a Course","28/3/2023","12:00 am","28/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077476","0"
"Advanced Registration for Fall 2023","28/3/2023","12:00 am","28/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077500","4086629"
"Chapel Service","28/3/2023","11:00 am","28/3/2023","12:00 pm","False","False","","","","Nexus","

","","","","","","","","01:00:00","584681","159528680","0"
"Alumni & Student Networking Event","28/3/2023","7:00 pm","28/3/2023","9:00 pm","False","False","","","","Calling and Career","

","","","","","","","","02:00:00","540434","165395623","0"
"Advanced Registration for Fall 2023","29/3/2023","12:00 am","29/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077501","4086629"
"Federal Law Enforcement Forum","29/3/2023","3:00 pm","29/3/2023","3:00 pm","False","True","John Johnson","","","Nexus","We will have representatives from the Federal Bureau of Investigation, Federal Deposit Insurance Agency, Health and Human Services, Office of Inspector General, and the U.S. Treasury Inspector General for Tax Administration.<br /><br />This is a career readiness Nexus, so the focus will be giving students a look into what a career in federal law enforcement is like. It also gives students a chance to connect with agents and support personnel that can be helpful in completing the application and understanding the complex application process for a paid internship program with the FBI that is due in early September.

Contact: John Johnson
","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","09:00:00","20393","165952319","0"
"Pi Day Celebration","29/3/2023","5:00 pm","29/3/2023","6:00 pm","False","False","Juliana Bukoski","","","Academics","Event will be in ASC102<br /><br />The MPC Club will host a belated Pi Day Celebration, where we eat Pie and calculate Pi using toothpicks!

Contact: Juliana Bukoski
","Asher Science Center","400 East College St","Georgetown","KY","40324","USA","","01:00:00","20393","166237671","0"
"Advanced Registration for Fall 2023","30/3/2023","12:00 am","30/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077502","4086629"
"Day of Giving","30/3/2023","12:00 am","30/3/2023","11:59 pm","True","False","","","","Alumni","

","","","","","","","","24:00:00","540434","164640634","0"
"Academic Council","30/3/2023","11:00 am","30/3/2023","12:00 pm","False","False","","","","Academics","

","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","159463601","0"
"Use the Ball, Don't Let the Ball Use You!: Life After Sports and the Athletic Identity of Collegiate Athletes","30/3/2023","11:00 am","30/3/2023","12:00 pm","False","False","Meghan Trella","","","Nexus","

Contact: Meghan Trella
","Asher Science Center Room 112","","","","","","","01:00:00","20393","166262580","0"
"Sororities Host: Self-Defense Class","30/3/2023","11:00 am","30/3/2023","12:00 pm","False","False","","","","Nexus","

","Bush Fitness Center - gymnasium","","","","","","","01:00:00","584681","166128051","0"
"Karaoke in the Caf","30/3/2023","12:00 pm","30/3/2023","1:00 pm","False","False","Bethany Langdon","","","General","

Contact: Bethany Langdon
","Cafeteria","","","","","","","01:00:00","20393","164778240","0"
"Advanced Registration for Fall 2023","31/3/2023","12:00 am","31/3/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077503","4086629"
"Too Much Light Makes The Baby Go Blind (30 Plays in 60 Minutes)","31/3/2023","7:00 pm","31/3/2023","7:00 pm","False","True","Ed Smith","","","Nexus","<p style=""background: white;""><strong><span style=""font-size: 13.0pt; font-family: 'Cambria',serif; color: black;"">Mature Content:&nbsp; Recommended for ages 13+&nbsp;</span></strong></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;""><br />The Georgetown College Department of Theatre &amp; Film and The Maskrafters &nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">present 30 Neofuturist Plays from&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;</span></p>
<p style=""background: white;""><em><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Too Much Light Makes The Baby Go Blind (30 Plays in 60 Minutes)</span></em><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;""> by Greg Allen&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Directed by Dr. Ed Smith&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;<br /></span><strong><u><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Ticket Fees:&nbsp;</span></u></strong></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Georgetown College Students-Free&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">All other students- $1-$4&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Nonstudents- $1-$6&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">To reserve tickets call 502-863-8104&nbsp;</span></p>

Contact: Ed Smith
","Ruth Pearce Wilson Lab Theatre","","","","","","","05:00:00","20393","166113162","0"
"Too Much Light Makes The Baby Go Blind (30 Plays in 60 Minutes)","1/4/2023","7:00 pm","1/4/2023","7:00 pm","False","True","Ed Smith","","","Performing Arts","<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;""><strong>Mature Content:&nbsp; Recommended for ages 13+&nbsp;</strong><br /><br />The Georgetown College Department of Theatre &amp; Film and The Maskrafters &nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">present 30 Neofuturist Plays from&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;</span></p>
<p style=""background: white;""><em><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Too Much Light Makes The Baby Go Blind (30 Plays in 60 Minutes)</span></em><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;""> by Greg Allen&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Directed by Dr. Ed Smith&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;<br /></span><strong><u><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Ticket Fees:&nbsp;</span></u></strong></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Georgetown College Students-Free&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">All other students- $1-$4&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Nonstudents- $1-$6&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">To reserve tickets call 502-863-8104&nbsp;</span></p>

Contact: Ed Smith
","Ruth Pearce Wilson Lab Theatre","","","","","","","05:00:00","20393","166113172","0"
"Too Much Light Makes The Baby Go Blind (30 Plays in 60 Minutes)","2/4/2023","7:00 pm","2/4/2023","7:00 pm","False","True","Ed Smith","","","Nexus","<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;""><strong>Mature Content:&nbsp; Recommended for ages 13+&nbsp;</strong><br /><br />The Georgetown College Department of Theatre &amp; Film and The Maskrafters &nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">present 30 Neofuturist Plays from&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;</span></p>
<p style=""background: white;""><em><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Too Much Light Makes The Baby Go Blind (30 Plays in 60 Minutes)</span></em><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;""> by Greg Allen&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Directed by Dr. Ed Smith&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;<br /></span><strong><u><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Ticket Fees:&nbsp;</span></u></strong></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Georgetown College Students-Free&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">All other students- $1-$4&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">Nonstudents- $1-$6&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">&nbsp;</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; font-family: 'Cambria',serif; color: black;"">To reserve tickets call 502-863-8104&nbsp;</span></p>

Contact: Ed Smith
","Ruth Pearce Wilson Lab Theatre","","","","","","","05:00:00","20393","166113180","0"
"Advanced Registration for Fall 2023","3/4/2023","12:00 am","3/4/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077508","4086630"
"Advanced Registration for Fall 2023","4/4/2023","12:00 am","4/4/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077509","4086630"
"Holy Week Unity Worship Service","4/4/2023","7:00 pm","4/4/2023","8:00 pm","False","False","","","","Nexus","

","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","","","01:00:00","584681","166342018","0"
"Advanced Registration for Fall 2023","5/4/2023","12:00 am","5/4/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077510","4086630"
"Advanced Registration for Fall 2023","6/4/2023","12:00 am","6/4/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077511","4086630"
"Full Time Faculty - Committee Meetings","6/4/2023","11:00 am","6/4/2023","12:00 pm","False","False","","","","Academics","

","","","","","","","","01:00:00","20393","159459035","0"
"The Entrepreneurial Spirit Workshop","6/4/2023","11:00 am","6/4/2023","1:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Nexus","Entrepreneurial Spirit Workshop (Thursday, April 6 at 11:00 a.m. in the Jones-Hall-Nelson Suite of the Student Center). In partnership with the Office of Diversity and Inclusion, the Graves Center is hosting a workshop to help Georgetown College students explore how to turn their creative ideas into marketable products and services. Lunch will be provided.<br /><br />Speakers: Devanny King, GC '15 &amp; Ashley Smith<br />Submitted for NEXUS event

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Jones-Hall-Nelson Suite (formerly Hall of Fame Room)","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","02:00:00","105534","166383133","0"
"Good Friday - No Classes","7/4/2023","12:00 am","7/4/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077514","0"
"Community Good Friday Service","7/4/2023","7:00 pm","7/4/2023","8:00 pm","False","False","","","","Faith & Service","

","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","United States","","01:00:00","584681","166283410","0"
"Greek Week","10/4/2023","12:00 am","10/4/2023","11:59 pm","True","False","","","","Greek Life","

","","","","","","","","24:00:00","584681","165397561","4317207"
"Undergraduate Research Presentations","10/4/2023","11:00 am","10/4/2023","11:50 am","False","False","Laura Hunt","","","Academics","Students who participated in research projects with faculty or presented papers at<br />conferences during the academic year will share their work with the campus community.

Contact: Laura Hunt
","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","00:50:00","20393","166108162","0"
"Career Closet","10/4/2023","1:00 pm","10/4/2023","4:00 pm","False","False","Faith Cracraft","5028637094","faith_cracraft@georgetowncollege.edu","Calling and Career","

Contact: Faith Cracraft
Email: faith_cracraft@georgetowncollege.edu
Phone: 5028637094
","Calling & Career (Student Center Lounge)","400 E. College St.","Georgetown","KY ","40324","","","03:00:00","588628","160305148","0"
"Greek Week - FSL Mix Up","10/4/2023","5:00 pm","10/4/2023","7:00 pm","False","False","","","","Greek Life","

","The Quad (South Campus)","","Georgetown","Kentucky","40324","","","02:00:00","584681","165467271","0"
"Greek Week","11/4/2023","12:00 am","11/4/2023","11:59 pm","True","False","","","","Greek Life","

","","","","","","","","24:00:00","584681","165397562","4317207"
"Chapel Service","11/4/2023","11:00 am","11/4/2023","12:00 pm","False","False","","","","Nexus","

","","","","","","","","01:00:00","584681","159528635","0"
"Prejudice and Bias in the Classroom","11/4/2023","12:00 pm","11/4/2023","1:00 pm","False","False","Andrew Adler","","","Academics","Dr. Karyn McKenzie will present on how our own prejudices and biases filter into<br />classroom teaching

Contact: Andrew Adler
","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","01:00:00","20393","164680268","0"
"Greek Week - FSL Jeopardy","11/4/2023","7:00 pm","11/4/2023","9:00 pm","False","False","","","","Greek Life","

","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","","","02:00:00","584681","165467549","0"
"Final Date to Drop a Couse with W","12/4/2023","12:00 am","12/4/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077517","0"
"Greek Week","12/4/2023","12:00 am","12/4/2023","11:59 pm","True","False","","","","Greek Life","

","","","","","","","","24:00:00","584681","165397563","4317207"
"French Novel on Film: Madame Bovary (1949),","12/4/2023","6:00 pm","12/4/2023","6:00 pm","False","True","","","","Nexus","<p style=""background: white;""><em><span style=""font-size: 12.0pt; color: black; background: white;"">Madame Bovary</span></em><span style=""font-size: 12.0pt; color: black; background: white;""> (1949), directed by Vincinte Minnelli.</span></p>
<span style=""font-size: 12.0pt; font-family: 'Calibri',sans-serif; color: black; background: white;"">Based on Gustave Flaubert's 1857 novel <em>Madame Bovary</em></span>

","Asher Science Center Room 112","","","","","","","06:00:00","20393","165097714","0"
"Cheerleading Banquet","12/4/2023","6:00 pm","12/4/2023","7:00 pm","False","False","","","","Athletic","

","","","","","","","","01:00:00","584681","166752255","0"
